age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,y,had_previous_contact,campaign_log,previous_log
33,services,married,secondary,no,0,yes,no,cellular,29,jan,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
59,retired,married,primary,no,2074,no,no,cellular,21,dec,1,186,2,success,yes,1,0.6931471805599453,1.0986122886681098
37,blue-collar,single,secondary,no,690,yes,no,cellular,18,nov,1,179,2,failure,no,1,0.6931471805599453,1.0986122886681098
35,services,single,secondary,no,1742,yes,no,cellular,31,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
31,blue-collar,single,secondary,no,4415,yes,no,unknown,2,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
58,technician,married,unknown,no,1617,yes,no,cellular,5,feb,4,274,2,failure,no,1,1.6094379124341003,1.0986122886681098
35,technician,married,secondary,no,1546,yes,no,cellular,20,nov,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
47,management,divorced,unknown,no,582,yes,yes,unknown,16,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
57,retired,married,secondary,no,6610,no,no,cellular,14,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
38,technician,single,secondary,no,42,yes,no,unknown,7,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
40,blue-collar,married,primary,no,137,no,yes,cellular,10,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
40,technician,single,secondary,no,134,yes,yes,cellular,28,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
40,services,married,secondary,no,111,yes,no,cellular,23,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
35,technician,single,tertiary,no,0,no,no,cellular,11,aug,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
32,services,divorced,secondary,no,454,yes,no,cellular,18,jul,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
37,management,married,tertiary,no,3794,no,no,cellular,18,aug,1,379,1,failure,no,1,0.6931471805599453,0.6931471805599453
50,unknown,single,secondary,no,86,no,no,telephone,6,feb,8,-1,0,no_previous_contact,no,0,2.1972245773362196,0.0
47,management,married,secondary,no,414,no,no,cellular,26,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
46,services,married,secondary,no,25,no,yes,unknown,25,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
45,blue-collar,married,secondary,no,10252,no,no,cellular,22,sep,1,141,2,success,yes,1,0.6931471805599453,1.0986122886681098
60,technician,married,secondary,no,1139,no,no,cellular,6,feb,2,207,2,failure,no,1,1.0986122886681098,1.0986122886681098
43,blue-collar,married,primary,no,-93,yes,no,unknown,26,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
46,management,married,tertiary,no,245,yes,no,unknown,16,may,10,-1,0,no_previous_contact,no,0,2.3978952727983707,0.0
38,blue-collar,married,secondary,no,6994,yes,no,telephone,8,apr,1,139,2,failure,no,1,0.6931471805599453,1.0986122886681098
34,services,married,secondary,no,-508,yes,no,unknown,20,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
36,management,married,tertiary,no,1313,no,no,cellular,26,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
33,admin.,single,tertiary,no,475,yes,no,cellular,7,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
55,blue-collar,married,primary,no,842,no,no,telephone,31,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,technician,married,secondary,no,0,yes,no,cellular,23,oct,1,184,1,success,no,1,0.6931471805599453,0.6931471805599453
44,management,single,secondary,no,-228,yes,yes,cellular,13,may,1,362,2,failure,no,1,0.6931471805599453,1.0986122886681098
58,technician,married,primary,no,4015,no,no,unknown,20,jun,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
53,retired,single,secondary,no,1846,no,no,unknown,11,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
54,blue-collar,married,secondary,no,853,no,no,unknown,16,jun,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
31,blue-collar,married,secondary,no,-190,yes,yes,cellular,8,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
56,blue-collar,married,primary,no,3498,no,no,cellular,15,apr,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
37,management,married,unknown,yes,62,yes,no,cellular,31,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
39,technician,single,secondary,no,102,yes,no,cellular,14,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
43,blue-collar,married,secondary,no,105,no,yes,cellular,4,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
36,management,single,tertiary,no,7252,no,no,cellular,12,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
70,entrepreneur,married,tertiary,no,15265,no,no,cellular,17,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
45,blue-collar,married,secondary,no,640,yes,no,cellular,4,may,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
34,management,divorced,tertiary,no,224,no,no,unknown,3,jun,11,-1,0,no_previous_contact,no,0,2.4849066497880004,0.0
64,retired,married,secondary,no,504,no,no,cellular,11,aug,1,14,3,other,no,1,0.6931471805599453,1.3862943611198906
36,services,married,tertiary,no,45,no,no,cellular,19,nov,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
34,management,married,tertiary,no,123,no,no,cellular,3,feb,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
24,student,single,secondary,no,1250,no,no,cellular,25,mar,2,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
30,management,married,tertiary,no,4874,yes,no,cellular,25,aug,10,-1,0,no_previous_contact,no,0,2.3978952727983707,0.0
57,management,married,tertiary,no,-92,yes,yes,unknown,20,jun,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
32,management,single,tertiary,no,406,no,no,unknown,29,may,24,-1,0,no_previous_contact,no,0,3.2188758248682006,0.0
28,technician,single,secondary,no,389,yes,no,cellular,11,may,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
29,technician,single,secondary,no,286,no,no,telephone,2,feb,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
